question_no,format,category,source_term,difficulty,batch,status,notes
1,marubatsu,金融商品・サービス,有価証券,basic,1,done,
2,marubatsu,金融商品・サービス,株式,basic,1,done,
3,marubatsu,勧誘・販売規則,適合性の原則,basic,1,done,
4,marubatsu,勧誘・販売規則,自己責任原則,basic,1,done,
5,marubatsu,金融商品取引法,一般投資家,basic,1,done,
6,marubatsu,金融商品取引法,第二種外務員,basic,1,done,
7,marubatsu,その他法令・業務,クーリング・オフ,basic,1,done,
8,marubatsu,その他法令・業務,顧客の利益保護,basic,1,done,
9,single,金融商品・サービス,投資信託,basic,1,done,
10,single,勧誘・販売規則,重要事項説明,basic,1,done,
11,marubatsu,金融商品・サービス,社債,basic,2,done,
12,marubatsu,金融商品・サービス,ETF,basic,2,done,
13,marubatsu,勧誘・販売規則,特定投資家,basic,2,done,
14,marubatsu,勧誘・販売規則,契約締結前交付書面,basic,2,done,
15,marubatsu,金融商品取引法,第二種金融商品取引業,basic,2,done,
16,marubatsu,金融商品取引法,インサイダー取引,basic,2,done,
17,marubatsu,その他法令・業務,分別管理,basic,2,done,
18,marubatsu,その他法令・業務,反社会的勢力排除,basic,2,done,
19,single,金融商品・サービス,社債,basic,2,done,
20,single,勧誘・販売規則,契約締結前交付書面,basic,2,done,
21,marubatsu,金融商品・サービス,転換社債,standard,3,done,
22,marubatsu,金融商品・サービス,投資信託,standard,3,done,
23,marubatsu,勧誘・販売規則,プロの投資家,standard,3,done,
24,marubatsu,勧誘・販売規則,契約締結時交付書面,standard,3,done,
25,marubatsu,金融商品取引法,第一種金融商品取引業,standard,3,done,
26,marubatsu,金融商品取引法,第一種外務員,standard,3,done,
27,marubatsu,その他法令・業務,信託保全,standard,3,done,
28,marubatsu,その他法令・業務,顧客本位の業務運営,standard,3,done,
29,single,金融商品・サービス,ETF,standard,3,done,
30,single,勧誘・販売規則,特定投資家,standard,3,done,
31,marubatsu,金融商品・サービス,国債,basic,4,done,
32,marubatsu,金融商品・サービス,株式分割,basic,4,done,
33,marubatsu,勧誘・販売規則,不適当な勧誘,basic,4,done,
34,marubatsu,勧誘・販売規則,取次,basic,4,done,
35,marubatsu,金融商品取引法,相場操縦,basic,4,done,
36,marubatsu,金融商品取引法,未公開重要事実,basic,4,done,
37,marubatsu,その他法令・業務,本人確認,basic,4,done,
38,marubatsu,その他法令・業務,コンプライアンス,basic,4,done,
39,single,金融商品取引法,第二種金融商品取引業,basic,4,done,
40,single,金融商品取引法,分別管理,basic,4,done,
41,marubatsu,金融商品・サービス,受益証券,standard,5,done,
42,marubatsu,金融商品・サービス,基準価額,standard,5,done,
43,marubatsu,勧誘・販売規則,勧誘,standard,5,done,
44,marubatsu,勧誘・販売規則,代理,standard,5,done,
45,marubatsu,金融商品取引法,金融商品取引業者,standard,5,done,
46,marubatsu,金融商品取引法,適時開示,standard,5,done,
47,marubatsu,その他法令・業務,金融サービス提供法,standard,5,done,
48,marubatsu,その他法令・業務,倫理,standard,5,done,
49,single,その他法令・業務,クーリング・オフ,standard,5,done,
50,single,金融商品取引法,インサイダー取引,standard,5,done,
51,single,金融商品・サービス,投資信託,standard,6,done,phase1五肢
52,single,金融商品・サービス,株式,standard,6,done,
53,single,勧誘・販売規則,適合性の原則,standard,6,done,
54,single,勧誘・販売規則,自己責任原則,standard,6,done,
55,single,金融商品取引法,一般投資家,standard,6,done,
56,single,金融商品取引法,第二種外務員,standard,7,done,
57,single,その他法令・業務,反社会的勢力排除,standard,7,done,
58,single,その他法令・業務,顧客本位の業務運営,standard,7,done,
59,single,金融商品・サービス,ETF,standard,7,done,
60,single,勧誘・販売規則,重要事項説明,standard,7,done,
61,single,金融商品取引法,第一種金融商品取引業,standard,7,done,
62,single,金融商品取引法,相場操縦,standard,7,done,
63,single,その他法令・業務,信託保全,standard,7,done,
64,single,金融商品・サービス,社債,standard,7,done,
65,single,勧誘・販売規則,契約締結時交付書面,standard,7,done,
66,single,金融商品取引法,未公開重要事実,standard,7,done,
67,single,その他法令・業務,本人確認,standard,7,done,
68,single,勧誘・販売規則,プロの投資家,standard,7,done,
69,single,金融商品・サービス,転換社債,standard,7,done,
70,single,金融商品取引法,金融商品取引業者,standard,7,done,
71,marubatsu,金融商品・サービス,普通株式,standard,8,done,phase2
72,marubatsu,金融商品・サービス,新株予約権,standard,8,done,
73,marubatsu,金融商品・サービス,配当,standard,8,done,
74,marubatsu,勧誘・販売規則,最良執行の原則,standard,8,done,
75,marubatsu,勧誘・販売規則,利益相反管理,standard,8,done,
76,marubatsu,勧誘・販売規則,目論見書,standard,8,done,
77,marubatsu,金融商品取引法,外務員,standard,8,done,
78,marubatsu,金融商品取引法,重要事実,standard,8,done,
79,marubatsu,金融商品取引法,大量保有報告制度,standard,8,done,
80,marubatsu,その他法令・業務,犯罪収益移転防止法,standard,8,done,
81,marubatsu,金融商品・サービス,優先株式,standard,9,done,phase2
82,marubatsu,金融商品・サービス,種類株式,standard,9,done,
83,marubatsu,金融商品・サービス,地方債,standard,9,done,
84,marubatsu,勧誘・販売規則,金融商品の販売等に関する法律,standard,9,done,
85,marubatsu,勧誘・販売規則,勧誘規則,standard,9,done,
86,marubatsu,勧誘・販売規則,高齢者への勧誘,standard,9,done,
87,marubatsu,金融商品取引法,有価証券届出書,standard,9,done,
88,marubatsu,金融商品取引法,有価証券報告書,standard,9,done,
89,marubatsu,金融商品取引法,虚偽記載,standard,9,done,
90,marubatsu,その他法令・業務,取引時確認,standard,9,done,
91,marubatsu,金融商品・サービス,自己株式,standard,10,done,phase2
92,marubatsu,金融商品・サービス,単元株式数,standard,10,done,
93,marubatsu,金融商品・サービス,社債券,standard,10,done,
94,marubatsu,勧誘・販売規則,投資目的,standard,10,done,
95,marubatsu,勧誘・販売規則,信用取引,standard,10,done,
96,marubatsu,勧誘・販売規則,私的勧誘,standard,10,done,
97,marubatsu,金融商品取引法,5％ルール,standard,10,done,
98,marubatsu,金融商品取引法,公開買付け制度,standard,10,done,
99,marubatsu,金融商品取引法,説の流布,standard,10,done,
100,marubatsu,その他法令・業務,疑わしい取引の届出,standard,10,done,
101,marubatsu,金融商品・サービス,中間配当,standard,11,done,phase2
102,marubatsu,金融商品・サービス,株式併合,standard,11,done,
103,marubatsu,金融商品・サービス,譲渡制限株式,standard,11,done,
104,marubatsu,勧誘・販売規則,投資経験,standard,11,done,
105,marubatsu,勧誘・販売規則,資産状況,standard,11,done,
106,marubatsu,勧誘・販売規則,募集又は売出し,standard,11,done,
107,marubatsu,金融商品取引法,私募,standard,11,done,
108,marubatsu,金融商品取引法,大量保有報告書,standard,11,done,
109,marubatsu,金融商品取引法,公開買付届出書,standard,11,done,
110,marubatsu,その他法令・業務,顧客の金銭の合算禁止,standard,11,done,
111,marubatsu,金融商品・サービス,記名式有価証券,standard,12,done,phase2
112,marubatsu,金融商品・サービス,議決権,standard,12,done,
113,marubatsu,金融商品・サービス,株主総会,standard,12,done,
114,marubatsu,勧誘・販売規則,知識及び経験,standard,12,done,
115,marubatsu,勧誘・販売規則,追証,standard,12,done,
116,marubatsu,勧誘・販売規則,販売等の勧誘,standard,12,done,
117,marubatsu,金融商品取引法,みなし公募,standard,12,done,
118,marubatsu,金融商品取引法,継続開示,standard,12,done,
119,marubatsu,金融商品取引法,不公正取引,standard,12,done,
120,marubatsu,その他法令・業務,顧客資産の分別管理,standard,12,done,
121,marubatsu,金融商品・サービス,無記名式有価証券,standard,13,done,phase2
122,marubatsu,金融商品・サービス,有価証券派生商品,standard,13,done,
123,marubatsu,金融商品・サービス,先物取引,standard,13,done,
124,marubatsu,勧誘・販売規則,保証金,standard,13,done,
125,marubatsu,勧誘・販売規則,委託証拠金,standard,13,done,
126,marubatsu,勧誘・販売規則,強制決済,standard,13,done,
127,marubatsu,金融商品取引法,四半期報告書,standard,13,done,
128,marubatsu,金融商品取引法,少人数私募,standard,13,done,
129,marubatsu,金融商品取引法,自己株券買付,standard,13,done,
130,marubatsu,その他法令・業務,マネーロンダリング,standard,13,done,
131,marubatsu,金融商品・サービス,特定口座,standard,14,done,phase2
132,marubatsu,金融商品・サービス,NISA,standard,14,done,
133,marubatsu,金融商品・サービス,証拠金,standard,14,done,
134,marubatsu,勧誘・販売規則,代用証券,standard,14,done,
135,marubatsu,勧誘・販売規則,制度信用取引,standard,14,done,
136,marubatsu,勧誘・販売規則,空売り,standard,14,done,
137,marubatsu,金融商品取引法,臨時報告書,standard,14,done,
138,marubatsu,金融商品取引法,偽計行為,standard,14,done,
139,marubatsu,金融商品取引法,内部管理責任者,standard,14,done,
140,marubatsu,その他法令・業務,テロ資金供与,standard,14,done,
141,marubatsu,金融商品・サービス,上場株式,standard,15,done,phase2
142,marubatsu,金融商品・サービス,株主名簿,standard,15,done,
143,marubatsu,金融商品・サービス,オプション取引,standard,15,done,
144,marubatsu,勧誘・販売規則,一般信用取引,standard,15,done,
145,marubatsu,勧誘・販売規則,投資助言業,standard,15,done,
146,marubatsu,勧誘・販売規則,店頭売買,standard,15,done,
147,marubatsu,金融商品取引法,少額公募,standard,15,done,
148,marubatsu,金融商品取引法,登録金融機関,standard,15,done,
149,marubatsu,金融商品取引法,半期報告書,standard,15,done,
150,marubatsu,その他法令・業務,顧客分別金信託,standard,15,done,
